GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.luka.userauth.security,SecurityConfig,0,120,0,0,0,22,0,6,0,6
,com.luka.userauth.service.impl,NotificationServiceImpl,0,37,0,0,0,13,0,2,0,2
,com.luka.userauth.service.impl,RefreshTokenServiceImpl,0,227,0,20,0,54,0,21,0,11
,com.luka.userauth.service.impl,AuthServiceImpl,0,226,0,12,0,52,0,14,0,8
,com.luka.userauth.service.impl,TokenServiceImpl,0,60,0,4,0,17,0,5,0,3
,com.luka.userauth.service.impl,VerificationServiceImpl,0,100,0,8,0,25,0,8,0,4
,com.luka.userauth.exception,GlobalExceptionHandler,21,31,0,0,3,5,3,5,3,5
,com.luka.userauth.config,TimeConfig,0,7,0,0,0,2,0,2,0,2
,com.luka.userauth.security.util,JWTUtil,113,18,2,0,35,6,6,2,5,2
,com.luka.userauth.security.util,RefreshTokenUtil,76,9,6,0,19,3,6,1,3,1
,com.luka.userauth.exception.exceptionclasses,JWTInvalidException,4,0,0,0,2,0,1,0,1,0
,com.luka.userauth.exception.exceptionclasses,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.exception.exceptionclasses,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.exception.exceptionclasses,RefreshTokenException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.exception.exceptionclasses,TokenNotValidException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.exception.exceptionclasses,RegistrationFailedException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.exception.exceptionclasses,VerificationFailedException,0,4,0,0,0,2,0,1,0,1
,com.luka.userauth.controller,AuthController,27,86,0,0,3,19,1,5,1,5
,com.luka.userauth.mapper,UserMapper,0,61,0,0,0,15,0,3,0,3
,com.luka.userauth.security.filters,JWTFilter,99,6,18,0,22,3,13,1,4,1
,com.luka.userauth,UserAuthApplication,5,3,0,0,2,1,1,1,1,1
